ID	CA	ES	FR	EN	CAS	ACCIO_1	ACCIO_2	ACCIO_3
2787	telotristat	telotristat	télotristat	telotristat	1033805-28-5	inhibidor del triptòfan-hidroxilasa		
2788	temafloxacina	temafloxacino	témafloxacine	temafloxacin	108319-06-8	antibiòtic quinolònic		
2789	temazepam	temazepam	témazépam	temazepam	846-50-4	tranquil·litzant		
2790	temefós	temefós	téméfos	temefos	3383-96-8	insecticida		
2791	temocapril	temocapril	témocapril	temocapril	111902-57-9	antihipertensor		
2792	temocil·lina	temocilina	témocilline	temocillin	66148-78-5	antibiòtic penicil·línic		
2793	temoporfina	temoporfina	témoporfine	temoporfin	122341-38-2	antineoplàstic		
2794	temozolomida	temozolomida	témozolomide	temozolomide	85622-93-1	antineoplàstic		
2795	temsirolimús	temsirolimus	temsirolimus	temsirolimus	162635-04-3	antiangiogènic	antineoplàstic	
2796	tenamfetamina	tenanfetamina	ténamfétamine	tenamfetamine	51497-09-7	estimulant del sistema nerviós central		
2797	tenecteplasa	tenecteplasa	ténectéplase	tenecteplase	191588-94-0	trombolític		
2798	tenidap	tenidap	ténidap	tenidap	120210-48-2	antiinflamatori		
2799	tenildiamina	tenildiamina	thényldiamine	thenyldiamine	91-79-2	antihistamínic		
2800	tenipòsid	tenipósido	téniposide	teniposide	29767-20-2	antineoplàstic		
2801	tenofovir	tenofovir	ténofovir	tenofovir	147127-20-6	anti-VIH		
2802	tenonitrozole	tenonitrozol	ténonitrozole	tenonitrozole	3810-35-3	antiprotozoari		
2803	tenoxicam	tenoxicam	ténoxicam	tenoxicam	59804-37-4	analgèsic	antiinflamatori	
2804	teodrenalina	teodrenalina	théodrénaline	theodrenaline	13460-98-5	analèptic	antihipotensor	
2805	teofil·linat de colina	teofilinato de colina	théophyllinate de choline	choline theophyllinate	4499-40-5	antiasmàtic	diürètic	
2806	teplizumab	teplizumab	téplizumab	teplizumab	876387-05-2	immunomodulador		
2807	teprenona	teprenona	téprénone	teprenone	6809-52-5	antiúlcera pèptica	citoprotector	
2808	teprotida	teprotida	téprotide	teprotide	35115-60-7	antihipertensor		
2809	teprotumumab	teprotumumab	téprotumumab	teprotumumab	89957-37-9	antineoplàstic		
2810	terazosina	terazosina	térazosine	terazosin	63590-64-7	antihipertensor		
2811	terbinafina	terbinafina	terbinafine	terbinafine	91161-71-6	antifúngic		
2812	terbutalina	terbutalina	terbutaline	terbutaline	23031-25-6	antiasmàtic	simpaticomimètic	
2813	terconazole	terconazol	terconazole	terconazole	67915-31-5	antifúngic		
2814	terfenadina	terfenadina	terfénadine	terfenadine	50679-08-8	antial·lèrgic	antihistamínic H1	
2815	tergurida	tergurida	terguride	terguride	37686-84-3	antiparkinsonià	inhibidor de la prolactina	
2816	teriflunomida	teriflunomida	tériflunomide	teriflunomide	108605-62-5	antireumàtic		
2817	teriparatida	teriparatida	tériparatide	teriparatide	52232-67-4	hormona paratiroidal		
2818	terizidona	terizidona	térizidone	terizidone	25683-71-0	antituberculós		
2819	terlipressina	terlipresina	terlipressine	terlipressin	14636-12-5	hormona antidiürètica	vasoconstrictor	
2820	ternidazole	ternidazol	ternidazole	ternidazole	1077-93-6	tricomonicida		
2821	tertatolol	tertatolol	tertatolol	tertatolol	34784-64-0	antiarrítmic	antihipertensor	blocador d'adrenoreceptors beta
2822	tesevatinib	tesevatinib	tésévatinib	tesevatinib	781613-23-8	antineoplàstic	inhibidor de la tirosina-cinasa	
2823	tesmilifè	tesmilifeno	tesmilifène	tesmilifene	98774-23-3	antineoplàstic		
2824	testolactona	testolactona	testolactone	testolactone	968-93-4	androgen		
2825	testosterona	testosterona	testostérone	testosterone	58-22-0	androgen		
2826	tetrabenazina	tetrabenazina	tétrabénazine	tetrabenazine	58-46-8	neurolèptic		
2827	tetracaïna	tetracaína	tétracaïne	tetracaine	94-24-6	anestèsic local		
2828	tetraciclina	tetraciclina	tétracycline	tetracycline	60-54-8	antibiòtic tetraciclínic		
2829	tetracosactida	tetracosactida	tétracosactide	tetracosactide	16960-16-0	agent de diagnòstic de la insuficiència corticosuprarenal		
2830	tetradecilsulfat de sodi	tetradecilsulfato de sodio	tétradécyl sulfate de sodium	sodium tetradecyl sulfate	139-88-8	esclerosant		
2831	tetranitrat d'eritritil	tetranitrato de eritritilo	tétranitrate d'éritrityle	eritrityl tetranitrate	7297-25-8	vasodilatador		
2832	tetranitrat de pentaeritritil	tetranitrato de pentaeritritilo	tétranitrate de pentaérithrityle	pentaerythrityl tetranitrate	78-11-5	vasodilatador coronari		
2833	tetrazepam	tetrazepam	tétrazépam	tetrazepam	10379-14-3	relaxant muscular		
2834	tetridamina	tetridamina	tétridamine	tetridamine	17289-49-5	analgèsic	antiinflamatori	
2835	tetrizolina	tetrizolina	tétryzoline	tetryzoline	84-22-0	vasoconstrictor otorrinolaringològic local		
2836	tetroxoprim	tetroxoprima	tétroxoprime	tetroxoprim	53808-87-0	antibiòtic diaminopirimidínic		
2837	tezosentan	tezosentán	tézosentan	tezosentan	180384-57-0	agent cardiovascular		
2838	tiabendazole	tiabendazol	tiabendazol	tiabendazole	148-79-8	antihelmíntic		
2839	tiadenol	tiadenol	tiadénol	tiadenol	6964-20-1	antihiperlipèmic		
2840	tiagabina	tiagabina	tiagabine	tiagabine	115103-54-3	antiepilèptic		
2841	tiamazole	tiamazol	thiamazol	thiamazole	60-56-0	antitiroidal		
2842	tiamfenicol	tianfenicol	thiamphénicol	thiamphenicol	15318-45-3	antibiòtic		
2843	tiamina	tiamina	thiamine	thiamine	59-43-8	emprat en la prevenció i el tractament del dèficit de vitamina B1		
2844	tiamulina	tiamulina	tiamuline	tiamulin	55297-95-5	antifúngic		
2845	tianeptina	tianeptina	tianeptine	tianeptine	66981-73-5	antidepressiu tricíclic		
2846	tiaprida	tiaprida	tiapride	tiapride	51012-32-9	neurolèptic		
2847	tiaramida	tiaramida	tiaramide	tiaramide	32527-55-2	analgèsic	antiinflamatori	
2848	tibolona	tibolona	tibolone	tibolone	5630-53-5	anabolitzant		
2849	ticagrelor	ticagrelor	ticagrélor	ticagrelor	274693-27-5	inhibidor de l'agregació plaquetària		
2850	ticarcil·lina	ticarcilina	ticarcilline	ticarcillin	34787-01-4	antibiòtic penicil·línic		
2851	ticlopidina	ticlopidina	ticlopidine	ticlopidine	55142-85-3	anticoagulant	inhibidor de l'agregació plaquetària	
2852	tietilperazina	tietilperazina	thiéthylpérazine	thiethylperazine	1420-55-9	antiemètic		
2853	tifluadom	tifluadom	tifluadom	tifluadom	83386-35-0	agonista opiaci	diürètic	
2854	tigeciclina	tigeciclina	tigécycline	tigecycline	220620-09-7	antibacterià		
2855	tilactasa	tilactasa	tilactase	tilactase	9031-11-2	emprat en el tractament de les malalties metabòliques		
2856	tilbroquinol	tilbroquinol	tilbroquinol	tilbroquinol	7175-09-9	antidiarreic	antiprotozoari	
2857	tilidina	tilidina	tilidine	tilidine	20380-58-9	analgèsic opioide		
2858	tiliquinol	tiliquinol	tiliquinol	tiliquinol	5541-67-3	antidiarreic	antiprotozoari	
2859	tiloxapol	tiloxapol	tyloxapol	tyloxapol	25301-02-4	tranquil·litzant		
2860	timalfasina	timalfasina	thymalfasine	thymalfasin	62304-98-7	hormona tímica		
2861	timiperona	timiperona	timipérone	timiperone	57648-21-2	neurolèptic		
2862	timolol	timolol	timolol	timolol	26839-75-8	blocador d'adrenoreceptors beta	emprat en el tractament del glaucoma	
2863	timonàcic	timonácico	timonacic	timonacic	444-27-9	hepatoprotector		
2864	tinidazole	tinidazol	tinidazole	tinidazole	19387-91-8	tricomonicida		
2865	tinzaparina sòdica	tinzaparina de sodio	tinzaparine sodique	tinzaparin sodium	9041-08-1	anticoagulant	antitrombòtic	
2866	tioacetazona	tioacetazona	thioacétazone	thioacetazone	104-06-3	antituberculós		
2867	tioclomarol	tioclomarol	tioclomarol	tioclomarol	22619-35-8	anticoagulant		
2868	tiocolquicòsid	tiocolchicósido	thiocolchicoside	thiocolchicoside	602-41-5	relaxant muscular		
2869	tioconazole	tioconazol	tioconazole	tioconazole	65899-73-2	antifúngic		
2870	tioguanina	tioguanina	tioguanine	tioguanine	154-42-7	antineoplàstic		
2871	tiomersal	tiomersal	thiomersal	thiomersal	54-64-8	antisèptic	desinfectant	
2872	tiopental sòdic	tiopental de sodio	thiopental sodique	thiopental sodium	71-73-8	anestèsic intravenós		
2873	tiopronina	tiopronina	tiopronine	tiopronin	1953-02-2	antídot en la intoxicació per plom	hepatoprotector	mucolític
2874	tioproperazina	tioproperazina	thiopropérazine	thioproperazine	316-81-4	neurolèptic		
2875	tioridazina	tioridazina	thioridazine	thioridazine	50-52-2	neurolèptic		
2876	tiotepa	tiotepa	thiotépa	thiotepa	52-24-4	antineoplàstic		
2877	tiotixè	tiotixeno	tiotixène	tiotixene	5591-45-7	neurolèptic		
2878	tioxolona	tioxolona	tioxolone	tioxolone	4991-65-5	antiseborreic		
2879	tipepidina	tipepidina	tipépidine	tipepidine	5169-78-8	antitussigen		
2880	tipiracil	tipiracilo	tipiracil	tipiracil	183204-74-2	potenciador d'antineoplàstics		
2881	tipranavir	tipranavir	tipranavir	tipranavir	174484-41-4	anti-VIH		
2882	tiram	tiramo	thirame	thiram	137-26-8	antifúngic	antisèptic	
2883	tirapazamina	tirapazamina	tirapazamine	tirapazamine	27314-97-2	antineoplàstic		
2884	tirasemtiv	tirasemtiv	tirasemtiv	tirasemtiv	1005491-05-3	activador de la troponina		
2885	tiratricol	tiratricol	tiratricol	tiratricol	51-24-1	hormona tiroidal		
2886	tirilazad	tirilazad	tirilazad	tirilazad	110101-66-1	inhibidor de la peroxidació lipídica		
2887	tirofiban	tirofibán	tirofiban	tirofiban	144494-65-5	antiagregant plaquetari		
2888	tiroglobulina	tiroglobulina	thyroglobuline	thyroglobulin	9010-34-8	hormona tiroidal		
2889	tiropanoat de sodi	tiropanoato de sodio	tyropanoate de sodium	sodium tyropanoate	7246-21-1	emprat com a element de contrast en colecistocolangiografia		
2890	tiropramida	tiropramida	tiropramide	tiropramide	55837-29-1	antiespasmòdic		
2891	tirosina	tirosina	tyrosine	tyrosine	60-18-4	emprat com a suplement dietètic		
2892	tirotricina	tirotricina	tyrothricine	tyrothricin	1404-88-2	antibiòtic polipeptídic		
2893	tirotrofina	tirotrofina	thyrotrophine	thyrotrophin	9002-71-5	hormona estimulant de la tiroide		
2894	tirotropina alfa	tirotropina alfa	thyrotropine alfa	thyrotropin alfa	194100-83-9	agent de diagnòstic		
2895	tisagenlecleucel	tisagenlecleucel	tisagenlecleucel	tisagenlecleucel	1823078-37-0	antineoplàstic		
2896	tisopurina	tisopurina	tisopurine	tisopurine	5334-23-6	uricosúric		
2897	tixocortol	tixocortol	tixocortol	tixocortol	61951-99-3	glucocorticoide		
2898	tizanidina	tizanidina	tizanidine	tizanidine	51322-75-9	relaxant muscular		
2899	tobramicina	tobramicina	tobramycine	tobramycin	32986-56-4	antibiòtic aminoglicosídic		
2900	tocaïnida	tocainida	tocaïnide	tocainide	41708-72-9	antiarrítmic		
2901	tocilizumab	tocilizumab	tocilizumab	tocilizumab	375823-41-9	immunomodulador		
2902	tocofibrat	tocofibrato	tocofibrate	tocofibrate	50465-39-9	hipolipemiant		
2903	todralazina	todralazina	todralazine	todralazine	14679-73-3	antihipertensor	vasodilatador perifèric	
2904	tofisopam	tofisopam	tofisopam	tofisopam	22345-47-7	tranquil·litzant		
2905	tolazamida	tolazamida	tolazamide	tolazamide	1156-19-0	hipoglucemiant oral		
2906	tolazolina	tolazolina	tolazoline	tolazoline	59-98-3	blocador d'adrenoreceptors beta	vasodilatador perifèric	
2907	tolbutamida	tolbutamida	tolbutamide	tolbutamide	64-77-7	hipoglucemiant oral		
2908	tolcapona	tolcapona	tolcapone	tolcapone	134308-13-7	antiparkinsonià		
2909	tolciclat	tolciclato	tolciclate	tolciclate	50838-36-3	antifúngic		
2910	tolicaïna	tolicaína	tolycaïne	tolycaine	3686-58-6	anestèsic local		
2911	tolmetina	tolmetina	tolmétine	tolmetin	26171-23-3	antiinflamatori		
2912	tolnaftat	tolnaftato	tolnaftate	tolnaftate	2398-96-1	antifúngic		
2913	toloxatona	toloxatona	toloxatone	toloxatone	29218-27-7	antidepressiu	relaxant muscular	
2914	tolperisona	tolperisona	tolpérisone	tolperisone	728-88-1	relaxant muscular		
2915	tolpropamina	tolpropamina	tolpropamine	tolpropamine	5632-44-0	antial·lèrgic	antihistamínic H1	
2916	tolterodina	tolterodina	toltérodine	tolterodine	124937-51-5	antagonista muscarínic	antiespasmòdic	
2917	tolvaptan	tovalptán	tovalptan	tovalptan	150683-30-0	emprat en el tractament de la hiponatrèmia		
2918	topiramat	topiramato	topiramate	topiramate	97240-79-4	antiepilèptic		
2919	topotecan	topotecán	topotécane	topotecan	123948-87-8	antineoplàstic		
2920	torasemida	torasemida	torasémide	torasemide	56211-40-6	diürètic		
2921	toremifè	toremifeno	torémifène	toremifene	89778-26-7	antineoplàstic		
2922	tosilat de bretili	tosilato de bretilio	tosilate de brétylium	bretylium tosilate	61-75-6	antihipertensor		
2923	tosilat de suplatast	tosilato de suplatast	tosilate de suplatast	suplatast tosilate	94055-76-2	antial·lèrgic		
2924	tosilcloramida sòdica	tosilcloramida de sodio	tosylchloramide sodique	tosylchloramide sodium	127-65-1	antisèptic	desinfectant	
2925	tositumomab	tositumomab	tositumomab	tositumomab	192391-48-3	immunomodulador		
2926	tosufloxacina	tosufloxacino	tosufloxacine	tosufloxacin	100490-36-6	antibiòtic quinolònic		
2927	trabectedina	trabectedina	trabectédine	trabectedin	114899-77-3	antineoplàstic		
2928	trafermina	trafermina	trafermine	trafermin	131094-16-1	factor de creixement fibroblàstic		
2929	tralokinumab	tralokinumab	tralokinumab	tralokinumab	1044515-88-9	immunomodulador		
2930	tramadol	tramadol	tramadol	tramadol	27203-92-5	analgèsic		
2931	tramazolina	tramazolina	tramazoline	tramazoline	1082-57-1	vasoconstrictor otorrinolaringològic local		
2932	trametinib	trametinib	tramétinib	trametinib	871700-17-3	antineoplàstic		
2933	trandolapril	trandolapril	trandolapril	trandolapril	87679-37-6	antihipertensor		
2934	tranilast	tranilast	tranilast	tranilast	53902-12-8	antihistamínic H1		
2935	tranilcipromina	tranilcipromina	tranylcypromine	tranylcypromine	155-09-9	antidepressiu IMAO		
2936	trapidil	trapidil	trapidil	trapidil	15421-84-8	inhibidor de l'agregació plaquetària	vasodilatador	
2937	trastuzumab	trastuzumab	trastuzumab	trastuzumab	180288-69-1	antineoplàstic		
2938	travoprost	travoprost	travoprost	travoprost	157283-68-6	prostaglandina		
2939	trazodona	trazodona	trazodone	trazodone	19794-93-5	tranquil·litzant		
2940	trebananib	trebananib	trébananib	trebananib	894356-79-7	inhibidor de l'angiogènesi		
2941	tremacamra	tremacamra	tremacamra	tremacamra	155576-45-7	antivíric		
2942	treonina	treonina	thréonine	threonine	72-19-5	emprat com a suplement dietètic		
2943	treosulfan	treosulfano	tréosulfan	treosulfan	299-75-2	antineoplàstic		
2944	trepibutona	trepibutona	trépibutone	trepibutone	41826-92-0	antiespasmòdic	colerètic	
2945	treprostinil	treprostinilo	tréprostinil	treprostinil	81846-19-7	inhibidor de l'agregació plaquetària	vasodilatador	
2946	tretinoïna	tretinoína	trétinoïne	tretinoin	302-79-4	queratolític		
2947	tretoquinol	tretoquinol	trétoquinol	tretoquinol	30418-38-3	broncodilatador		
2948	triacetina	triacetina	triacétine	triacetin	102-76-1	antifúngic		
2949	triamcinolona	triamcinolona	triamcinolone	triamcinolone	124-94-7	antiinflamatori	glucocorticoide	
2950	triamterè	triamtereno	triamtérène	triamterene	396-01-0	diürètic		
2951	triazolam	triazolam	triazolam	triazolam	28911-01-5	hipnòtic sedant		
2952	tribenòsid	tribenósido	tribénoside	tribenoside	10310-32-4	esclerosant		
2953	tribromsalan	tribromsalán	tribromsalan	tribromsalan	87-10-5	antisèptic	desinfectant	
2954	triclabendazole	triclabendazol	triclabendazole	triclabendazole	68786-66-3	antihelmíntic		
2955	triclocarban	triclocarbán	triclocarban	triclocarban	101-20-2	antisèptic	desinfectant	
2956	triclofós	triclofós	triclofos	triclofos	306-52-5	hipnòtic sedant		
2957	triclormetiazida	triclormetiazida	trichlorméthiazide	trichlormethiazide	133-67-5	diürètic		
2958	tricloroetilè	tricloroetileno	trichloroéthylène	trichloroethylene	79-01-6	anestèsic inhalatori		
2959	triclosan	triclosán	triclosan	triclosan	3380-34-5	desinfectant		
2960	trientina	trientina	trientine	trientine	112-24-3	emprat en el tractament de les malalties metabòliques	quelant	
2961	triestearat de sorbitan	triestearato de sorbitán	tristéarate de sorbitan	sorbitan tristearate	26658-19-5	coadjuvant farmacèutic		
2962	trietiodur de gal·lamina	trietioduro de galamina	triéthiodure de gallamine	gallamine triethiodide	65-29-2	blocador neuromuscular		
2963	trifluoperazina	trifluoperazina	trifluopérazine	trifluoperazine	117-89-5	neurolèptic		
2964	trifluperidol	trifluperidol	triflupéridol	trifluperidol	749-13-3	neurolèptic		
2965	triflupromazina	triflupromazina	triflupromazine	triflupromazine	146-54-3	neurolèptic		
2966	trifluridina	trifluridina	trifluridine	trifluridine	70-00-8	antivíric		
2967	triflusal	triflusal	triflusal	triflusal	322-79-2	anticoagulant	inhibidor de l'agregació plaquetària	
2968	trihexifenidil	trihexifenidil	trihexyphénidyle	trihexyphenidyl	144-11-6	antiparkinsonià		
2969	trilostà	trilostano	trilostane	trilostane	13647-35-3	inhibidor dels corticosteroides		
2970	trimebutina	trimebutina	trimébutine	trimebutine	39133-31-8	antiespasmòdic		
2971	trimecaïna	trimecaína	trimécaïne	trimecaine	616-68-2	anestèsic local		
2972	trimegestona	trimegestona	trimégestone	trimegestone	74513-62-5	progestagen		
2973	trimeperidina	trimeperidina	trimépéridine	trimeperidine	64-39-1	analgèsic opioide		
2974	trimetadiona	trimetadiona	triméthadione	trimethadione	127-48-0	antiepilèptic		
2975	trimetazidina	trimetazidina	trimétazidine	trimetazidine	5011-34-7	vasodilatador coronari		
2976	trimetobenzamida	trimetobenzamida	triméthobenzamide	trimethobenzamide	138-56-7	antiemètic		
2977	trimetoprim	trimetoprima	triméthoprime	trimethoprim	738-70-5	antibiòtic diaminopirimidínic		
2978	trimetrexat	trimetrexato	trimétrexate	trimetrexate	52128-35-5	antineoplàstic	antiprotozoari	
2979	trimipramina	trimipramina	trimipramine	trimipramine	739-71-9	antidepressiu tricíclic		
2980	trioleat de sorbitan	trioleato de sorbitán	trioléate de sorbitan	sorbitan trioleate	26266-58-0	emulsionant		
2981	trioxisalèn	trioxisaleno	trioxysalène	trioxysalen	3902-71-4	pigmentador dermatològic		
2982	tripamida	tripamida	tripamide	tripamide	73803-48-2	antihipertensor	diürètic	vasodilatador perifèric
2983	triparsamida	triparsamida	tryparsamide	tryparsamide	554-72-3	tripanosomicida		
2984	tripelennamina	tripelenamina	tripélennamine	tripelennamine	91-81-6	antial·lèrgic	antihistamínic H1	
2985	triprolidina	triprolidina	triprolidine	triprolidine	486-12-4	antial·lèrgic	antihistamínic H1	
2986	triptòfan	triptófano	tryptophane	tryptophan	73-22-3	antidepressiu	hipnòtic sedant	
2987	triptorelina	triptorelina	triptoréline	triptorelin	57773-63-4	agonista del factor alliberador de l'hormona luteïnitzant	antineoplàstic	
2988	tritoqualina	tritocualina	tritoqualine	tritoqualine	14504-73-5	antial·lèrgic		
2989	trofosfamida	trofosfamida	trofosfamide	trofosfamide	22089-22-1	antineoplàstic		
2990	troglitazona	troglitazona	troglitazone	troglitazone	97322-87-7	hipoglucemiant oral		
2991	trolamina	trolamina	trolamine	trolamine	102-71-6	coadjuvant farmacèutic		
2992	troleandomicina	troleandomicina	troléandomycine	troleandomycin	2751-09-9	antibiòtic macròlid		
2993	tromantadina	tromantadina	tromantadine	tromantadine	53783-83-8	antivíric		
2994	trometamol	trometamol	trométamol	trometamol	77-86-1	diürètic osmòtic		
